Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-306,419,Female,Laboratory Technician,Married,No,Y,3,36,1,1105,24,Master's Degree,1,2,47,3,2,2,5674,6927,7,15,3,3,80,1,11,3,9,8,0,8
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1358,1949,Male,Laboratory Technician,Married,No,Y,3,36,1,1351,9,Master's Degree,1,1,66,4,1,2,2810,9238,1,22,4,2,80,0,5,3,5,4,0,2
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1759,2167,Female,Laboratory Technician,Married,No,Y,3,36,1,1105,24,Master's Degree,1,2,47,3,2,2,5674,6927,7,15,3,3,80,1,11,3,9,8,0,8
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2811,3219,Male,Laboratory Technician,Married,No,Y,3,36,1,1351,9,Master's Degree,1,1,66,4,1,2,2810,9238,1,22,4,2,80,0,5,3,5,4,0,2
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-818,1133,Male,Manufacturing Director,Single,No,Y,0,36,1,217,18,Master's Degree,1,1,78,3,2,4,7779,23238,2,20,4,1,80,0,18,3,11,9,0,9
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2271,2679,Male,Manufacturing Director,Single,No,Y,0,36,1,217,18,Master's Degree,1,1,78,3,2,4,7779,23238,2,20,4,1,80,0,18,3,11,9,0,9
Yes,Non-Travel,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-865,1210,Male,Research Scientist,Divorced,No,Y,2,41,0,906,5,Associates Degree,1,1,95,2,1,1,2107,20293,6,17,3,1,80,1,5,1,1,0,0,0
Yes,Non-Travel,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-2318,2726,Male,Research Scientist,Divorced,No,Y,2,41,0,906,5,Associates Degree,1,1,95,2,1,1,2107,20293,6,17,3,1,80,1,5,1,1,0,0,0
Yes,Non-Travel,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-1463,1458,Female,Laboratory Technician,Single,Yes,Y,2,39,0,592,2,Bachelor's Degree,1,1,54,2,1,1,3646,17181,2,23,4,2,80,0,11,4,1,0,0,0
Yes,Non-Travel,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-2916,3324,Female,Laboratory Technician,Single,Yes,Y,2,39,0,592,2,Bachelor's Degree,1,1,54,2,1,1,3646,17181,2,23,4,2,80,0,11,4,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-417,556,Male,Laboratory Technician,Married,Yes,Y,3,38,1,1490,2,Associates Degree,1,4,42,3,1,4,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1870,2278,Male,Laboratory Technician,Married,Yes,Y,3,38,1,1490,2,Associates Degree,1,4,42,3,1,4,1702,12106,1,23,4,3,80,1,1,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1010,2025,Female,Manufacturing Director,Divorced,No,Y,3,36,1,688,4,Associates Degree,1,4,97,3,2,2,5131,9192,7,13,3,2,80,3,18,3,4,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1134,1412,Male,Manufacturing Director,Single,No,Y,2,35,1,200,18,Associates Degree,1,3,60,3,3,4,9362,19944,2,11,3,3,80,0,10,3,2,2,2,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2463,2871,Female,Manufacturing Director,Divorced,No,Y,3,36,1,688,4,Associates Degree,1,4,97,3,2,2,5131,9192,7,13,3,2,80,3,18,3,4,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2587,2995,Male,Manufacturing Director,Single,No,Y,2,35,1,200,18,Associates Degree,1,3,60,3,3,4,9362,19944,2,11,3,3,80,0,10,3,2,2,2,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-410,547,Female,Research Scientist,Divorced,No,Y,3,42,1,532,29,Associates Degree,1,1,92,3,2,3,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1863,2271,Female,Research Scientist,Divorced,No,Y,3,42,1,532,29,Associates Degree,1,1,92,3,2,3,4556,12932,2,11,3,2,80,1,19,3,5,4,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-606,837,Male,Healthcare Representative,Divorced,No,Y,3,38,1,471,12,Bachelor's Degree,1,1,45,2,2,1,6288,4284,2,15,3,3,80,1,13,2,4,3,1,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-651,902,Female,Healthcare Representative,Married,No,Y,2,43,1,422,1,Bachelor's Degree,1,4,33,3,2,4,5562,21782,4,13,3,2,80,1,12,2,5,2,2,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1307,1547,Male,Healthcare Representative,Married,Yes,Y,3,42,1,288,2,Bachelor's Degree,1,4,40,3,3,4,10124,18611,2,14,3,3,80,1,24,1,20,8,13,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2059,2467,Male,Healthcare Representative,Divorced,No,Y,3,38,1,471,12,Bachelor's Degree,1,1,45,2,2,1,6288,4284,2,15,3,3,80,1,13,2,4,3,1,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2104,2512,Female,Healthcare Representative,Married,No,Y,2,43,1,422,1,Bachelor's Degree,1,4,33,3,2,4,5562,21782,4,13,3,2,80,1,12,2,5,2,2,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2760,3168,Male,Healthcare Representative,Married,Yes,Y,3,42,1,288,2,Bachelor's Degree,1,4,40,3,3,4,10124,18611,2,14,3,3,80,1,24,1,20,8,13,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-148,199,Male,Manager,Divorced,No,Y,2,41,1,857,10,Bachelor's Degree,1,4,91,2,4,1,17181,12888,4,13,3,2,80,1,21,2,7,6,7,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-585,809,Male,Manager,Divorced,No,Y,4,42,1,570,8,Bachelor's Degree,1,2,66,3,5,4,18430,16225,1,13,3,2,80,1,24,2,24,7,14,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1601,2009,Male,Manager,Divorced,No,Y,2,41,1,857,10,Bachelor's Degree,1,4,91,2,4,1,17181,12888,4,13,3,2,80,1,21,2,7,6,7,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2038,2446,Male,Manager,Divorced,No,Y,4,42,1,570,8,Bachelor's Degree,1,2,66,3,5,4,18430,16225,1,13,3,2,80,1,24,2,24,7,14,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-67,85,Male,Manufacturing Director,Single,No,Y,3,36,1,1195,11,Bachelor's Degree,1,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-813,1126,Female,Manufacturing Director,Married,No,Y,1,43,1,1082,27,Bachelor's Degree,1,3,83,3,3,1,10820,11535,8,11,3,3,80,1,18,3,8,7,0,1
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1520,1928,Male,Manufacturing Director,Single,No,Y,3,36,1,1195,11,Bachelor's Degree,1,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,6,5,0,3
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2266,2674,Female,Manufacturing Director,Married,No,Y,1,43,1,1082,27,Bachelor's Degree,1,3,83,3,3,1,10820,11535,8,11,3,3,80,1,18,3,8,7,0,1
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-983,1382,Male,Research Scientist,Divorced,No,Y,2,38,1,693,7,Bachelor's Degree,1,4,57,4,1,3,2610,15748,1,11,3,4,80,3,4,3,4,2,0,3
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-989,1392,Female,Research Scientist,Divorced,Yes,Y,4,41,1,1200,22,Bachelor's Degree,1,4,75,3,2,4,5467,13953,3,14,3,1,80,2,12,2,6,2,3,3
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1132,1668,Male,Research Scientist,Married,No,Y,4,38,1,1189,1,Bachelor's Degree,1,4,90,3,2,4,4735,9867,7,15,3,4,80,2,19,4,13,11,2,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2436,2844,Male,Research Scientist,Divorced,No,Y,2,38,1,693,7,Bachelor's Degree,1,4,57,4,1,3,2610,15748,1,11,3,4,80,3,4,3,4,2,0,3
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2442,2850,Female,Research Scientist,Divorced,Yes,Y,4,41,1,1200,22,Bachelor's Degree,1,4,75,3,2,4,5467,13953,3,14,3,1,80,2,12,2,6,2,3,3
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2585,2993,Male,Research Scientist,Married,No,Y,4,38,1,1189,1,Bachelor's Degree,1,4,90,3,2,4,4735,9867,7,15,3,4,80,2,19,4,13,11,2,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-62,79,Female,Laboratory Technician,Single,No,Y,2,38,1,653,29,Doctoral Degree,1,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1515,1923,Female,Laboratory Technician,Single,No,Y,2,38,1,653,29,Doctoral Degree,1,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,3,10,3,9,9
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-450,602,Female,Laboratory Technician,Married,No,Y,3,39,1,443,8,High School,1,3,48,3,1,3,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1903,2311,Female,Laboratory Technician,Married,No,Y,3,39,1,443,8,High School,1,3,48,3,1,3,3755,17872,1,11,3,1,80,1,8,3,8,3,0,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-401,531,Male,Manager,Divorced,Yes,Y,3,39,1,1218,1,High School,1,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1854,2262,Male,Manager,Divorced,Yes,Y,3,39,1,1218,1,High School,1,2,52,3,5,3,19197,8213,1,14,3,3,80,1,21,3,21,8,1,6
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-91,119,Male,Healthcare Representative,Married,No,Y,3,40,1,530,1,Master's Degree,1,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1308,2049,Male,Healthcare Representative,Married,Yes,Y,2,35,1,1199,18,Master's Degree,1,3,80,3,2,3,5689,24594,1,14,3,4,80,2,10,4,10,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1544,1952,Male,Healthcare Representative,Married,No,Y,3,40,1,530,1,Master's Degree,1,3,78,2,4,2,13503,14115,1,22,4,4,80,1,22,2,22,3,11,11
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2761,3169,Male,Healthcare Representative,Married,Yes,Y,2,35,1,1199,18,Master's Degree,1,3,80,3,2,3,5689,24594,1,14,3,4,80,2,10,4,10,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-299,407,Male,Laboratory Technician,Married,No,Y,2,36,1,566,18,Master's Degree,1,3,81,4,1,4,3688,7122,4,18,3,4,80,2,4,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-316,430,Female,Laboratory Technician,Single,No,Y,5,43,1,185,10,Master's Degree,1,3,33,3,1,4,2455,10675,0,19,3,1,80,0,9,3,8,7,1,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-331,448,Female,Laboratory Technician,Divorced,No,Y,3,43,1,559,10,Master's Degree,1,3,82,2,2,3,5257,6227,1,11,3,2,80,1,9,4,9,7,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1305,1594,Male,Laboratory Technician,Married,Yes,Y,3,36,1,1302,6,Master's Degree,1,1,80,4,2,1,5562,19711,3,13,3,4,80,1,9,3,3,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1752,2160,Male,Laboratory Technician,Married,No,Y,2,36,1,566,18,Master's Degree,1,3,81,4,1,4,3688,7122,4,18,3,4,80,2,4,3,1,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1769,2177,Female,Laboratory Technician,Single,No,Y,5,43,1,185,10,Master's Degree,1,3,33,3,1,4,2455,10675,0,19,3,1,80,0,9,3,8,7,1,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1784,2192,Female,Laboratory Technician,Divorced,No,Y,3,43,1,559,10,Master's Degree,1,3,82,2,2,3,5257,6227,1,11,3,2,80,1,9,4,9,7,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2758,3166,Male,Laboratory Technician,Married,Yes,Y,3,36,1,1302,6,Master's Degree,1,1,80,4,2,1,5562,19711,3,13,3,4,80,1,9,3,3,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-579,803,Female,Manufacturing Director,Single,Yes,Y,2,38,1,240,2,Master's Degree,1,1,75,4,2,1,5980,26085,6,12,3,4,80,0,17,3,15,7,4,12
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1127,1997,Male,Manufacturing Director,Married,No,Y,1,38,1,508,6,Master's Degree,1,1,72,2,2,3,5321,14284,2,11,3,4,80,1,10,3,8,3,7,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2032,2440,Female,Manufacturing Director,Single,Yes,Y,2,38,1,240,2,Master's Degree,1,1,75,4,2,1,5980,26085,6,12,3,4,80,0,17,3,15,7,4,12
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2580,2988,Male,Manufacturing Director,Married,No,Y,1,38,1,508,6,Master's Degree,1,1,72,2,2,3,5321,14284,2,11,3,4,80,1,10,3,8,3,7,7
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-962,1350,Male,Research Scientist,Single,Yes,Y,3,35,1,482,4,Master's Degree,1,3,87,3,2,3,4249,2690,1,11,3,2,80,0,9,3,9,6,1,1
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2415,2823,Male,Research Scientist,Single,Yes,Y,3,35,1,482,4,Master's Degree,1,3,87,3,2,3,4249,2690,1,11,3,2,80,0,9,3,9,6,1,1
Yes,Travel_Frequently,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-814,1127,Male,Healthcare Representative,Divorced,No,Y,4,39,0,203,2,Bachelor's Degree,1,1,84,3,4,4,12169,13547,7,11,3,4,80,3,21,3,18,7,11,5
Yes,Travel_Frequently,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-2267,2675,Male,Healthcare Representative,Divorced,No,Y,4,39,0,203,2,Bachelor's Degree,1,1,84,3,4,4,12169,13547,7,11,3,4,80,3,21,3,18,7,11,5
Yes,Travel_Frequently,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-287,392,Male,Laboratory Technician,Divorced,Yes,Y,0,44,0,920,24,Bachelor's Degree,1,4,43,3,1,3,3161,19920,3,22,4,4,80,1,19,1,1,0,0,0
Yes,Travel_Frequently,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-1740,2148,Male,Laboratory Technician,Divorced,Yes,Y,0,44,0,920,24,Bachelor's Degree,1,4,43,3,1,3,3161,19920,3,22,4,4,80,1,19,1,1,0,0,0
Yes,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-9,12,Male,Manufacturing Director,Single,No,Y,2,38,1,216,23,Bachelor's Degree,1,4,44,2,3,3,9526,8787,0,21,4,2,80,0,10,3,9,7,1,8
Yes,Travel_Frequently,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-637,881,Female,Research Scientist,Divorced,Yes,Y,3,35,0,130,25,Master's Degree,1,4,96,3,1,2,2022,16612,1,19,3,1,80,1,10,2,10,2,7,8
Yes,Travel_Frequently,35 - 44,Ex-Employees,R&D,Life Sciences,STAFF-2090,2498,Female,Research Scientist,Divorced,Yes,Y,3,35,0,130,25,Master's Degree,1,4,96,3,1,2,2022,16612,1,19,3,1,80,1,10,2,10,2,7,8
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1371,1664,Male,Healthcare Representative,Divorced,No,Y,3,36,1,1040,3,Associates Degree,1,4,79,4,2,1,6842,26308,6,20,4,1,80,1,13,3,5,4,0,4
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2824,3232,Male,Healthcare Representative,Divorced,No,Y,3,36,1,1040,3,Associates Degree,1,4,79,4,2,1,6842,26308,6,20,4,1,80,1,13,3,5,4,0,4
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-119,155,Female,Laboratory Technician,Divorced,No,Y,2,36,1,922,3,Associates Degree,1,1,39,3,1,4,2835,2561,5,22,4,1,80,1,7,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-180,245,Female,Laboratory Technician,Single,No,Y,3,38,1,1380,9,Associates Degree,1,3,75,3,1,4,2288,6319,1,12,3,3,80,0,2,3,2,2,2,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-221,304,Male,Laboratory Technician,Single,No,Y,3,36,1,1396,5,Associates Degree,1,4,62,3,2,2,5914,9945,8,16,3,4,80,0,16,4,13,11,3,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1040,1802,Female,Laboratory Technician,Married,No,Y,5,40,1,616,2,Associates Degree,1,3,99,3,1,1,3377,25605,4,17,3,4,80,1,7,2,4,3,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1187,1601,Male,Laboratory Technician,Married,No,Y,5,35,1,1349,7,Associates Degree,1,3,63,2,1,4,2690,7713,1,18,3,4,80,1,1,2,1,0,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1572,1980,Female,Laboratory Technician,Divorced,No,Y,2,36,1,922,3,Associates Degree,1,1,39,3,1,4,2835,2561,5,22,4,1,80,1,7,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1633,2041,Female,Laboratory Technician,Single,No,Y,3,38,1,1380,9,Associates Degree,1,3,75,3,1,4,2288,6319,1,12,3,3,80,0,2,3,2,2,2,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1674,2082,Male,Laboratory Technician,Single,No,Y,3,36,1,1396,5,Associates Degree,1,4,62,3,2,2,5914,9945,8,16,3,4,80,0,16,4,13,11,3,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2493,2901,Female,Laboratory Technician,Married,No,Y,5,40,1,616,2,Associates Degree,1,3,99,3,1,1,3377,25605,4,17,3,4,80,1,7,2,4,3,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2640,3048,Male,Laboratory Technician,Married,No,Y,5,35,1,1349,7,Associates Degree,1,3,63,2,1,4,2690,7713,1,18,3,4,80,1,1,2,1,0,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-923,1288,Male,Manager,Divorced,No,Y,4,44,1,1199,4,Associates Degree,1,3,92,4,5,1,19190,17477,1,14,3,4,80,2,26,2,25,9,14,13
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2376,2784,Male,Manager,Divorced,No,Y,4,44,1,1199,4,Associates Degree,1,3,92,4,5,1,19190,17477,1,14,3,4,80,2,26,2,25,9,14,13
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-598,827,Female,Manufacturing Director,Married,Yes,Y,4,42,1,932,1,Associates Degree,1,4,43,2,2,4,6062,4051,9,13,3,4,80,1,8,3,4,3,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-950,1322,Male,Manufacturing Director,Single,No,Y,6,39,1,524,18,Associates Degree,1,1,32,3,2,3,4534,13352,0,11,3,1,80,0,9,3,8,7,1,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1278,1724,Female,Manufacturing Director,Married,Yes,Y,3,40,1,369,8,Associates Degree,1,2,92,3,2,1,6516,5041,2,16,3,2,80,1,18,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2051,2459,Female,Manufacturing Director,Married,Yes,Y,4,42,1,932,1,Associates Degree,1,4,43,2,2,4,6062,4051,9,13,3,4,80,1,8,3,4,3,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2403,2811,Male,Manufacturing Director,Single,No,Y,6,39,1,524,18,Associates Degree,1,1,32,3,2,3,4534,13352,0,11,3,1,80,0,9,3,8,7,1,7
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2731,3139,Female,Manufacturing Director,Married,Yes,Y,3,40,1,369,8,Associates Degree,1,2,92,3,2,1,6516,5041,2,16,3,2,80,1,18,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-308,421,Female,Research Director,Married,No,Y,2,38,1,849,25,Associates Degree,1,1,81,2,3,2,12061,26707,3,17,3,3,80,1,19,3,10,8,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-342,461,Male,Research Director,Divorced,Yes,Y,3,38,1,343,15,Associates Degree,1,3,92,2,3,4,11510,15682,0,14,3,2,80,1,12,3,11,10,2,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-610,843,Male,Research Director,Married,No,Y,3,43,1,589,14,Associates Degree,1,2,94,3,4,1,17159,5200,6,24,4,3,80,1,22,3,4,1,1,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1378,1666,Male,Research Director,Married,No,Y,3,43,1,1291,15,Associates Degree,1,3,65,2,4,3,17603,3525,1,24,4,1,80,1,14,3,14,10,6,11
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1761,2169,Female,Research Director,Married,No,Y,2,38,1,849,25,Associates Degree,1,1,81,2,3,2,12061,26707,3,17,3,3,80,1,19,3,10,8,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1795,2203,Male,Research Director,Divorced,Yes,Y,3,38,1,343,15,Associates Degree,1,3,92,2,3,4,11510,15682,0,14,3,2,80,1,12,3,11,10,2,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2063,2471,Male,Research Director,Married,No,Y,3,43,1,589,14,Associates Degree,1,2,94,3,4,1,17159,5200,6,24,4,3,80,1,22,3,4,1,1,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2831,3239,Male,Research Director,Married,No,Y,3,43,1,1291,15,Associates Degree,1,3,65,2,4,3,17603,3525,1,24,4,1,80,1,14,3,14,10,6,11
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-48,61,Male,Research Scientist,Married,No,Y,1,37,1,408,19,Associates Degree,1,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-243,334,Male,Research Scientist,Divorced,No,Y,2,41,1,1411,19,Associates Degree,1,3,36,3,2,1,3072,19877,2,16,3,1,80,2,17,2,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-254,347,Female,Research Scientist,Single,Yes,Y,1,42,1,916,17,Associates Degree,1,4,82,4,2,1,6545,23016,3,13,3,3,80,0,10,3,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-523,715,Male,Research Scientist,Single,No,Y,2,37,1,1225,10,Associates Degree,1,4,80,4,1,4,4680,15232,3,17,3,1,80,0,4,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-659,913,Male,Research Scientist,Married,Yes,Y,0,44,1,661,9,Associates Degree,1,2,61,3,1,1,2559,7508,1,13,3,4,80,0,8,3,8,7,7,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1155,1940,Male,Research Scientist,Divorced,No,Y,0,38,1,1206,9,Associates Degree,1,2,71,3,1,4,4771,14293,2,19,3,4,80,2,10,4,5,2,0,3
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1501,1909,Male,Research Scientist,Married,No,Y,1,37,1,408,19,Associates Degree,1,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1696,2104,Male,Research Scientist,Divorced,No,Y,2,41,1,1411,19,Associates Degree,1,3,36,3,2,1,3072,19877,2,16,3,1,80,2,17,2,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1707,2115,Female,Research Scientist,Single,Yes,Y,1,42,1,916,17,Associates Degree,1,4,82,4,2,1,6545,23016,3,13,3,3,80,0,10,3,3,2,0,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-1976,2384,Male,Research Scientist,Single,No,Y,2,37,1,1225,10,Associates Degree,1,4,80,4,1,4,4680,15232,3,17,3,1,80,0,4,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2112,2520,Male,Research Scientist,Married,Yes,Y,0,44,1,661,9,Associates Degree,1,2,61,3,1,1,2559,7508,1,13,3,4,80,0,8,3,8,7,7,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2608,3016,Male,Research Scientist,Divorced,No,Y,0,38,1,1206,9,Associates Degree,1,2,71,3,1,4,4771,14293,2,19,3,4,80,2,10,4,5,2,0,3
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-334,451,Female,Healthcare Representative,Married,No,Y,1,43,1,1001,7,Bachelor's Degree,1,3,43,3,3,1,9985,9262,8,16,3,1,80,1,10,2,1,0,0,0
